Package,Time,Temp,Axis X,Axis Y,Axis Z,Latitude,Longitude
Package[143],3:3:3:28,31.31,-0.12,9.96,-1.73,12.972447,101.456760
Package[145],3:3:3:29,31.31,-0.12,9.96,-1.73,12.972447,101.456760
Package[147],3:3:3:31,31.31,-0.16,9.96,-1.65,12.972447,101.456760
Package[149],3:3:3:32,31.25,-0.12,9.96,-1.61,12.972447,101.456760
Package[151],3:3:3:33,31.25,-0.20,9.96,-1.65,12.972447,101.456760
Package[153],3:3:3:35,31.31,-0.16,9.96,-1.65,12.972447,101.456760
Package[155],3:3:3:36,31.31,-0.12,9.96,-1.65,12.972447,101.456760
Package[157],3:3:3:37,31.31,-0.12,9.96,-1.69,12.972447,101.456760
Package[159],3:3:3:39,31.31,-0.08,9.89,-1.61,12.972424,101.456710
Package[161],3:3:3:40,31.38,-0.12,9.96,-1.69,12.972433,101.456700
Package[163],3:3:3:41,31.44,-0.12,9.96,-1.73,12.972433,101.456700
Package[165],3:3:3:43,31.38,-0.08,9.92,-1.65,12.972445,101.456690
Package[167],3:3:3:44,31.38,-0.12,9.92,-1.69,12.972455,101.456680
Package[169],3:3:3:46,31.38,-0.20,9.96,-1.73,12.972455,101.456680
Package[171],3:3:3:47,31.44,-0.12,9.92,-1.69,12.972455,101.456680
