Package,Time,Temp,Axis X,Axis Y,Axis Z,Latitude,Longitude,,,,,,,
Package[4191],3:3:56:17,3.81,2.55,9.61,-1.77,12.976171,101.43423,,,,,,,
Package[4193],3:3:56:18,3.81,2.59,9.49,-1.49,12.976137,101.43417,,,,,,,
Package[4195],3:3:56:20,3.81,2.51,9.41,-1.92,12.976137,101.43417,,,,,,,
Package[4197],3:3:56:21,3.81,2.63,9.65,-1.8,12.976137,101.43417,,,,,,,
Package[4199],3:3:56:22,3.88,2.75,9.53,-1.61,12.976137,101.43417,,,,,,,
Package[4201],3:3:56:24,3.88,2.51,9.77,-1.77,12.976137,101.43417,,,,,,,
Package[4203],3:3:56:25,3.88,2.71,9.45,-1.65,12.976137,101.43417,,,,,,,
0.43417,,,,,,,,,,,,,,
Package[4207],3:3:56:28,3.94,2.59,9.49,-1.73,12.976137,101.43417,,,,,,,
Package[4209],3:3:56:29,3.88,2.55,9.34,-2.08,12.976137,101.43417,,,,,,,
Package[4211],3:3:56:30,3.81,2.55,9.85,-1.57,12.976137,101.43417,,,,,,,
Package[4213],3:3:56:32,3.69,2.39,9.57,-1.65,12.976137,101.43417,,,,,,,
Package[4215],3:3:56:33,3.63,2.47,9.34,-1.88,12.976137,101.43417,,,,,,,
Package[4217],3:3:56:34,3.5,2.55,9.81,-1.69,12.976137,101.43417,,,,,,,
Package[4219],3:3:56:36,3.44,2.71,9.38,-1.96,12.975687,101.43378,,,,,,,
Package[4221],3:3:56:37,3.31,2.47,9.77,-1.8,12.975687,101.43378,,,,,,,
Package[4223],3:3:56:39,3.25,2.51,9.02,-1.96,12.975635,101.43375,,,,,,,
Package[4225],3:3:56:40,3.13,2.59,9.57,-1.84,12.975635,101.43375,,,,,,,
Package[4227],3:3:56:41,3.06,2.59,9.45,-1.65,12.975635,101.43375,,,,,,,
Package[4229],3:3:56:43,2.94,2.71,9.61,-1.53,12.975635,101.43375,,,,,,,
Package[4231],3:3:56:44,2.88,2.55,9.92,-1.92,12.975635,101.43375,,,,,,,
Package[4233],3:3:56:45,2.81,2.47,9.57,-1.8,12.975635,101.43375,,,,,,,
Package[4235],3:3:56:47,2.63,2.59,9.22,-1.57,12.975635,101.43375,,,,,,,
Package[4237],3:3:56:48,2.63,2.55,9.34,-1.53,12.975369,101.43362,,,,,,,
Package[4239],3:3:56:49,2.5,2.51,9.53,-1.77,12.975369,101.43362,,,,,,,
Package[4241],3:3:56:51,2.44,2.55,9.49,-1.88,12.975343,101.43359,,,,,,,
Package[4243],3:3:56:52,2.44,2.39,9.49,-1.92,12.975325,101.43354,,,,,,,
Package[4247],3:3:56:55,2.31,2.43,9.34,-1.84,12.975325,101.43354,,,,,,,
Package[4249],3:3:56:56,2.31,2.79,9.49,-1.77,12.975325,101.43354,,,,,,,
Package[4251],3:3:56:58,2.25,2.47,9.77,-1.49,12.975325,101.43354,,,,,,,
Package[4253],3:3:56:59,2.19,2.75,9.53,-2.04,12.975325,101.43354,,,,,,,
Package[4255],3:3:57:0,2.19,2.39,9.65,-1.96,12.975325,101.43354,,,,,,,
Package[4257],3:3:57:2,2.19,2.86,9.41,-1.84,12.975325,101.43354,,,,,,,
Package[4259],3:3:57:3,2.19,2.59,9.81,-1.57,12.975325,101.43354,,,,,,,
Package[4261],3:3:57:4,2.19,2.63,9.69,-1.57,12.975325,101.43354,,,,,,,
Package[4263],3:3:57:6,2.19,2.79,9.65,-1.53,12.975325,101.43354,,,,,,,
Package[4265],3:3:57:7,2.19,2.51,9.65,-1.84,12.975229,101.43307,,,,,,,
Package[4267],3:3:57:9,2.13,2.71,9.45,-1.88,12.975229,101.43307,,,,,,,
Package[4269],3:3:57:10,2.13,2.55,9.49,-1.77,12.975229,101.43307,,,,,,,
Package[4271],3:3:57:11,2.19,2.67,9.81,-1.49,12.975229,101.43307,,,,,,,
Package[4273],3:3:57:13,2.13,2.47,9.53,-1.57,12.975229,101.43307,,,,,,,
Package[4275],3:3:57:14,2.13,2.67,9.45,-1.69,12.975229,101.43307,,,,,,,
Package[4277],3:3:57:15,2.19,2.63,9.57,-1.65,12.975229,101.43307,,,,,,,
Package[4279],3:3:57:17,2.19,2.51,9.57,-1.73,12.975229,101.43307,,,,,,,
Package[4281],3:3:57:18,2.19,2.71,9.57,-1.73,12.975229,101.43307,,,,,,,
Package[4283],3:3:57:19,2.19,2.39,9.49,-1.96,12.975229,101.43307,,,,,,,
